scope,language_group,target,pairs,resolved_rate_v2,resolved_rate_v3,delta
language_group+target,spanish,Effusion,678,0.668141592920354,0.668141592920354,0.0
language_group+target,spanish,Fracture,678,0.0855457227138643,0.0855457227138643,0.0
language_group+target,spanish,Lateral Meniscus,678,0.5530973451327433,0.5530973451327433,0.0
language_group+target,spanish,Lateral OA,678,0.3746312684365782,0.37610619469026546,0.001474926253687281
language_group+target,spanish,MCL,678,0.45132743362831856,0.47050147492625366,0.019174041297935096
language_group+target,spanish,Medial Meniscus,678,0.6637168141592921,0.6637168141592921,0.0
language_group+target,spanish,Medial OA,678,0.38495575221238937,0.3864306784660767,0.0014749262536873364
language_group+target,spanish,PF OA,678,0.3952802359882006,0.415929203539823,0.020648967551622377
language_group+target,spanish,Synovitis,678,0.15634218289085547,0.15634218289085547,0.0
language_group+target,turkish,ACL,547,0.3583180987202925,0.42413162705667273,0.06581352833638021
language_group+target,turkish,Baker's,547,0.10603290676416818,0.10603290676416818,0.0
language_group+target,turkish,Contusion,547,0.038391224862888484,0.051188299817184646,0.012797074954296161
language_group+target,turkish,Effusion,547,0.6069469835466179,0.8427787934186471,0.23583180987202923
language_group+target,turkish,Fracture,547,0.025594149908592323,0.029250457038391225,0.003656307129798902
language_group+target,turkish,Lateral Meniscus,547,0.8372943327239488,0.870201096892139,0.03290676416819016
language_group+target,turkish,Lateral OA,547,0.054844606946983544,0.056672760511883,0.0018281535648994526
language_group+target,turkish,MCL,547,0.8775137111517367,0.9323583180987203,0.054844606946983565
language_group+target,turkish,Medial Meniscus,547,0.8482632541133455,0.8738574040219378,0.025594149908592323
language_group+target,turkish,Medial OA,547,0.09872029250457039,0.11517367458866545,0.016453382084095067
language_group+target,turkish,PF OA,547,0.1663619744058501,0.19378427787934185,0.027422303473491755
language_group+target,turkish,Synovitis,547,0.04753199268738574,0.04753199268738574,0.0
